site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
1896,no,94,60,4,70
1896,no,92,83,3,88
1896,no,70,42,3,43
1896,no,84,54,6,59
1896,no,61,42,2,42
1896,no,102,53,16,49
1896,no,82,49,6,71
1896,no,64,56,10,85
1896,no,53,36,1,35
1896,no,66,53,7,75
3469,yes,77,51,14,82
3469,yes,59,52,6,63
3469,yes,51,46,1,97
3469,yes,100,54,9,81
3469,yes,92,50,5,70
3469,yes,77,47,3,70
3469,yes,99,64,12,75
3469,yes,62,45,4,54
3469,yes,80,69,21,60
3469,yes,86,46,2,37
9603,no,76,45,12,51
9603,no,86,58,6,63
9603,no,78,58,7,68
9603,no,74,51,1,66
9603,no,89,56,3,46
9603,no,77,56,1,93
9603,no,80,46,2,52
9603,no,71,45,2,48
9603,no,69,46,1.5,69
9603,no,81,51,3,68
3470,no,63,37,1,33
3470,no,79,46,0.5,57
3470,no,91,54,2,100
3470,no,72,44,3,32
3470,no,64,46,0.5,76
3470,no,53,26,2.5,25
3470,no,71,47,1,50
3470,no,61,39,3,43
3470,no,70,59,3,79
